source_department,source_id,business_key,name,address,pincode,pan,gstin,owner_name,nic_code,industry_sector,city,inspection_dates,event_history,closure_date,name_norm,address_norm,pincode_prefix,name_phonetic,ubid,link_confidence,veto_applied,veto_reason
shops,sho_12,BIZ-00012,Pragathi Fabrication 12,"No 12, Main Road, Industrial Area, Hubballi",560012,ABCDE0012F,,Owner 12,2599,Fabrication,Hubballi,2023-01-15|2023-04-15|2023-07-23,inspection:2023-01-15|inspection:2023-04-15|inspection:2023-07-23|renewal:2024-04-18|renewal:2025-04-08|renewal:2026-04-04,,pragathi fabrication 12,no 12 main road industrial area hubballi,560,P623-PRK0 FBRKXN ,UBID-000023,0.5,False,
factories,fac_12,BIZ-00012,Sri Pragathi Fabrication 12 LLP,"No 12, Main Road, Industrial Area, Hubballi",560012,ABCDE0012F,29ABCDE0012F1Z4,Owner 12,2599,Fabrication,Hubballi,2023-01-14|2023-04-14|2023-07-13,inspection:2023-01-14|inspection:2023-04-14|inspection:2023-07-13|renewal:2024-04-05|renewal:2025-04-20|renewal:2026-04-05,,pragathi fabrication 12,no 12 main road industrial area hubballi,560,P623-PRK0 FBRKXN ,UBID-000024,1.0,False,
pollution,pol_12,BIZ-00012,Sri Pragathi Fabrication 12,"Door 12, Industrial Area, Hubballi",560012,ABCDE0012F,29ABCDE0012F1Z4,Owner 12,2599,Fabrication,Hubballi,2023-01-16|2023-04-16|2023-07-15,inspection:2023-01-16|inspection:2023-04-16|inspection:2023-07-15|filing:2026-05-05,,pragathi fabrication 12,door 12 industrial area hubballi,560,P623-PRK0 FBRKXN ,UBID-000024,1.0,False,
electricity,ele_12,BIZ-00012,Shri Pragathi Fabrication 12 Enterprises,"No 12, Main Road, Industrial Area, Hubballi",560012,ABCDE0012F,29ABCDE0012F1Z4,Owner 12,2599,Fabrication,Hubballi,2023-01-17|2023-04-17|2023-07-16,inspection:2023-01-17|inspection:2023-04-17|inspection:2023-07-16|electricity_bill:2025-08-03|electricity_bill:2025-09-04|electricity_bill:2025-10-04|electricity_bill:2025-11-01|electricity_bill:2025-12-03|electricity_bill:2025-12-31|electricity_bill:2026-02-02|electricity_bill:2026-03-06|electricity_bill:2026-04-02|electricity_bill:2026-05-04,,pragathi fabrication 12,no 12 main road industrial area hubballi,560,P623-PRK0 FBRKXN ,UBID-000024,1.0,False,
shops,sho_13,BIZ-00013,M/s Pragathi Lodging 13,"No 13, Main Road, Industrial Area, Mangaluru",560013,ABCDE0013F,29ABCDE0013F1Z5,Owner 13,5510,Lodging,Mangaluru,2023-01-09|2023-04-13|2023-07-03|2023-09-24|2023-12-30|2024-03-29,inspection:2023-01-09|inspection:2023-04-13|inspection:2023-07-03|inspection:2023-09-24|inspection:2023-12-30|inspection:2024-03-29|renewal:2024-04-11|renewal:2025-04-18|renewal:2026-04-11,,m s pragathi lodging 13,no 13 main road industrial area mangaluru,560,M216-M S PRK0 LJNK ,UBID-000025,1.0,False,
factories,fac_13,BIZ-00013,M/s rPagathi Lodging 13 Lodgings,"No 13, Main Road, Industrial Area, Mangaluru",560013,ABCDE0013F,,Owner 13,5510,Lodging,Mangaluru,2023-01-12|2023-03-27|2023-07-02|2023-09-30|2023-12-29|2024-03-28,inspection:2023-01-12|inspection:2023-03-27|inspection:2023-07-02|inspection:2023-09-30|inspection:2023-12-29|inspection:2024-03-28|renewal:2025-04-01,,m s rpagathi lodging 13 lodgings,no 13 main road industrial area mangaluru,560,M261-M S RPK0 LJNK LJNKS,UBID-000026,0.5,False,
pollution,pol_13,BIZ-00013,M/s Pragathi Lodging 13 Pvt tLd,"No 13, Main Road, Industrial Area, Mangaluru",560013,ABCDE0013F,29ABCDE0013F1Z5,Owner 13,5510,Lodging,Mangaluru,2023-01-05|2023-04-05|2023-07-04|2023-10-02|2023-12-31|2024-03-30,inspection:2023-01-05|inspection:2023-04-05|inspection:2023-07-04|inspection:2023-10-02|inspection:2023-12-31|inspection:2024-03-30|filing:2026-05-05,,m s pragathi lodging 13 tld,no 13 main road industrial area mangaluru,560,M216-M S PRK0 LJNK TLT,UBID-000025,1.0,False,
electricity,ele_13,BIZ-00013,Sri Pragathi Lodging 13 LLP,"No 13, Main Road, Industrial Area, Mangaluru",560013,ABCDE0013F,29ABCDE0013F1Z5,Owner 13,5510,Lodging,Mangaluru,2023-01-06|2023-04-06|2023-07-05|2023-10-12|2023-12-29|2024-03-31,inspection:2023-01-06|inspection:2023-04-06|inspection:2023-07-05|inspection:2023-10-12|inspection:2023-12-29|inspection:2024-03-31|electricity_bill:2025-10-05|electricity_bill:2025-11-02|electricity_bill:2025-12-03|electricity_bill:2026-01-04|electricity_bill:2026-02-04|electricity_bill:2026-03-03|electricity_bill:2026-04-02|electricity_bill:2026-05-04,,pragathi lodging 13,no 13 main road industrial area mangaluru,560,P623-PRK0 LJNK ,UBID-000025,1.0,False,
shops,sho_14,BIZ-00014,M/s Mandya Restaurant 14 LLP,"No 14, Main Road, Industrial Area, Belagavi",560014,ABCDE0014F,29ABCDE0014F1Z6,Owner 14,5610,Restaurant,Belagavi,2023-01-12|2023-04-28|2023-07-18|2023-10-13|2024-01-14|2024-04-13,inspection:2023-01-12|inspection:2023-04-28|inspection:2023-07-18|inspection:2023-10-13|inspection:2024-01-14|inspection:2024-04-13|renewal:2026-04-02,,m s mandya restaurant 14,no 14 main road industrial area belagavi,560,M255-M S MNTY RSTRNT ,UBID-000027-S01,1.0,True,temporal_veto_conflicting_owner_names
factories,fac_14,BIZ-00014,M/s Mandya Restaurnat 14 Pvt Ltd,"No 14, Main Road, Industrial Area, Belagavi",560014,ABCDE0014F,29ABCDE0014F1Z6,Owner 14,5610,Restaurant,Belagavi,2025-06-15|2023-04-18|2023-07-17|2023-10-15|2024-01-13|2024-04-12,inspection:2023-04-18|inspection:2023-07-17|inspection:2023-10-15|inspection:2024-01-13|renewal:2024-04-06|inspection:2024-04-12|renewal:2025-04-27|inspection:2025-06-15|renewal:2026-04-26,,m s mandya restaurnat 14,no 14 main road industrial area belagavi,560,M255-M S MNTY RSTRNT ,UBID-000027-S02,1.0,True,temporal_veto_conflicting_owner_names
pollution,pol_14,BIZ-00014,Shri Mandya Restaurant 14 LLP,"No 14, Main Road, Industrial Area, Hubballi",560014,,29ABCDE0014F1Z6,Owner 14,5610,Restaurant,Hubballi,2025-06-15|2023-04-20|2023-07-19|2023-10-17|2024-01-15|2024-04-14,inspection:2023-04-20|inspection:2023-07-19|inspection:2023-10-17|inspection:2024-01-15|inspection:2024-04-14|inspection:2025-06-15|filing:2026-05-05,,mandya restaurant 14,no 14 main road industrial area hubballi,560,M536-MNTY RSTRNT ,UBID-000028,0.5,False,
electricity,ele_14,BIZ-00014,Sri Mandya Restaurant 14 LLP,"Plot 14, Main Road, Belagavi",560014,ABCDE0014F,29ABCDE0014F1Z6,Conflicting Owner 14,5610,Restaurant,Belagavi,2023-01-21|2023-04-21|2023-07-20|2023-10-11|2024-01-16|2024-04-15,inspection:2023-01-21|inspection:2023-04-21|inspection:2023-07-20|inspection:2023-10-11|inspection:2024-01-16|inspection:2024-04-15|electricity_bill:2025-08-04|electricity_bill:2025-09-06|electricity_bill:2025-10-07|electricity_bill:2025-11-06|electricity_bill:2025-12-03|electricity_bill:2026-01-03|electricity_bill:2026-02-04|electricity_bill:2026-03-06|electricity_bill:2026-04-04|electricity_bill:2026-05-05,,mandya restaurant 14,plot 14 main road belagavi,560,M536-MNTY RSTRNT ,UBID-000027-S03,1.0,True,temporal_veto_conflicting_owner_names
shops,sho_15,BIZ-00015,Sri Bangalore Bakery 15 Pvt Ltd,"No 15, Main Road, Industrial Area, Bengaluru",560015,ABCDE0015F,,Owner 15,1071,Bakery,Bengaluru,2023-02-08|2023-05-09|2023-08-07|2023-11-05|2024-02-03|2024-04-26,inspection:2023-02-08|inspection:2023-05-09|inspection:2023-08-07|inspection:2023-11-05|inspection:2024-02-03|renewal:2024-04-18|inspection:2024-04-26|renewal:2025-04-21|renewal:2026-04-13,,bangalore bakery 15,no 15 main road industrial area bengaluru,560,B524-BNKLR BKR ,UBID-000029,1.0,False,
factories,fac_15,BIZ-00015,M/s Bangalore Bakery 15 Pvt Ltd,"Door 15, Industrial Area, Bengaluru",560015,ABCDE0015F,29ABCDE0015F1Z7,Owner 15,1071,Bakery,Bengaluru,2023-02-16|2023-05-08|2023-08-06|2023-11-04|2024-01-26|2024-05-02,inspection:2023-02-16|inspection:2023-05-08|inspection:2023-08-06|inspection:2023-11-04|inspection:2024-01-26|renewal:2024-04-11|inspection:2024-05-02|renewal:2025-04-26|renewal:2026-04-01,,m s bangalore bakery 15,door 15 industrial area bengaluru,560,M215-M S BNKLR BKR ,UBID-000030,1.0,False,
pollution,pol_15,BIZ-00015,M/s Bangalore Bakery 15 LLP,"15 Main Rd, Ind Area, Bengaluru",560015,ABCDE0015F,29ABCDE0015F1Z7,Owner 15,1071,Bakery,Bengaluru,2023-02-06|2023-05-10|2023-08-08|2023-11-06|2024-02-01|2024-05-04,inspection:2023-02-06|inspection:2023-05-10|inspection:2023-08-08|inspection:2023-11-06|inspection:2024-02-01|inspection:2024-05-04,,m s bangalore bakery 15,15 main rd ind area bengaluru,560,M215-M S BNKLR BKR ,UBID-000030,1.0,False,
pollution,pol_15_dup,BIZ-00015,M/s Bangalore Bakery 15 LLP,"Door 15, Industrial Area, Bengaluru",560015,ABCDE0015F,29ABCDE0015F1Z7,Owner 15,1071,Bakery,Bengaluru,2023-02-06|2023-05-10|2023-08-08|2023-11-06|2024-02-01|2024-05-04,inspection:2023-02-06|inspection:2023-05-10|inspection:2023-08-08|inspection:2023-11-06|inspection:2024-02-01|inspection:2024-05-04,,m s bangalore bakery 15,door 15 industrial area bengaluru,560,M215-M S BNKLR BKR ,UBID-000030,1.0,False,
electricity,ele_15,BIZ-00015,Bangalore Bakery 15,"No 15, Main Road, Industrial Area, Bengaluru",560015,ABCDE0015F,,Owner 15,1071,Bakery,Bengaluru,2023-02-10|2023-05-11|2023-08-02|2023-11-07|2024-02-10|2024-05-05,inspection:2023-02-10|inspection:2023-05-11|inspection:2023-08-02|inspection:2023-11-07|inspection:2024-02-10|inspection:2024-05-05|electricity_bill:2025-07-05|electricity_bill:2025-08-03|electricity_bill:2025-09-03|electricity_bill:2025-10-05|electricity_bill:2025-11-05|electricity_bill:2025-12-06|electricity_bill:2026-01-04|electricity_bill:2026-01-31|electricity_bill:2026-03-04|electricity_bill:2026-04-05|electricity_bill:2026-05-05,,bangalore bakery 15,no 15 main road industrial area bengaluru,560,B524-BNKLR BKR ,UBID-000029,1.0,False,
shops,sho_16,BIZ-00016,Shri Shree Durga Retail 16 Enterprises,"No 16, Main Road, Industrial Area, Mysuru",560016,ABCDE0016F,29ABCDE0016F1Z8,Owner 16,4711,Retail,Mysuru,2023-01-31|2023-05-01|2023-07-30|2023-10-28|2024-01-23,inspection:2023-01-31|inspection:2023-05-01|inspection:2023-07-30|inspection:2023-10-28|inspection:2024-01-23|renewal:2024-04-11|renewal:2025-04-22|renewal:2026-04-05,,shree durga retail 16,no 16 main road industrial area mysuru,560,S636-XR TRK RTL ,UBID-000031,1.0,False,
factories,fac_16,BIZ-00016,Sri Shree Durga Retail 16 Pvt Ltd,"No 16, Main Road, Industrial Area, Mysuru",560016,ABCDE0016F,29ABCDE0016F1Z8,Owner 16,4711,Retail,Mysuru,2023-01-30|2023-04-30|2023-07-29|2023-10-27|2024-01-25,inspection:2023-01-30|inspection:2023-04-30|inspection:2023-07-29|inspection:2023-10-27|inspection:2024-01-25|renewal:2025-04-22|renewal:2026-04-14,,shree durga retail 16,no 16 main road industrial area mysuru,560,S636-XR TRK RTL ,UBID-000031,1.0,False,
pollution,pol_16,BIZ-00016,Shri Shree Durga Retail 16 Pvt Ltd,"No 16, Main Road, Industrial Area, Mysuru",560016,ABCDE0016F,,Owner 16,4711,Retail,Mysuru,2023-02-01|2023-05-07|2023-07-31|2023-10-29|2024-01-27,inspection:2023-02-01|inspection:2023-05-07|inspection:2023-07-31|inspection:2023-10-29|inspection:2024-01-27|filing:2026-05-05,,shree durga retail 16,no 16 main road industrial area mysuru,560,S636-XR TRK RTL ,UBID-000031,1.0,False,
electricity,ele_16,BIZ-00016,Shree Durga Retail 16 LLP,"No 16, Main Road, Industrial Area, Mysuru",560016,ABCDE0016F,29ABCDE0016F1Z8,Owner 16,4711,Retail,Mysuru,2023-02-02|2023-05-03|2023-08-01|2023-10-30|2024-01-28,inspection:2023-02-02|inspection:2023-05-03|inspection:2023-08-01|inspection:2023-10-30|inspection:2024-01-28|electricity_bill:2025-10-04|electricity_bill:2025-11-01|electricity_bill:2025-12-02|electricity_bill:2026-01-04|electricity_bill:2026-02-03|electricity_bill:2026-03-06|electricity_bill:2026-04-03|electricity_bill:2026-05-03,,shree durga retail 16,no 16 main road industrial area mysuru,560,S636-XR TRK RTL ,UBID-000031,1.0,False,
electricity,ele_16_dup,BIZ-00016,Shree Durga Retail 16 LLP,"16 Main Rd, Ind Area, Mysuru",560016,ABCDE0016F,29ABCDE0016F1Z8,Owner 16,4711,Retail,Mysuru,2023-02-02|2023-05-03|2023-08-01|2023-10-30|2024-01-28,inspection:2023-02-02|inspection:2023-05-03|inspection:2023-08-01|inspection:2023-10-30|inspection:2024-01-28|electricity_bill:2025-10-04|electricity_bill:2025-11-01|electricity_bill:2025-12-02|electricity_bill:2026-01-04|electricity_bill:2026-02-03|electricity_bill:2026-03-06|electricity_bill:2026-04-03|electricity_bill:2026-05-03,,shree durga retail 16,16 main rd ind area mysuru,560,S636-XR TRK RTL ,UBID-000031,1.0,False,
shops,sho_17,BIZ-00017,Chamundi Fabrication 17 Fabriactions,"No 17, Main Road, Industrial Area, Hubballi",560017,ABCDE0017F,29ABCDE0017F1Z9,Owner 17,2599,Fabrication,Hubballi,2023-01-28|2023-04-28|2023-07-27|2023-10-18|2024-01-20|2024-04-22,inspection:2023-01-28|inspection:2023-04-28|inspection:2023-07-27|inspection:2023-10-18|inspection:2024-01-20|inspection:2024-04-22|renewal:2024-04-25|renewal:2025-04-12|renewal:2026-04-10,,chamundi fabrication 17 fabriactions,no 17 main road industrial area hubballi,560,C553-XMNT FBRKXN FBRKXNS,UBID-000032,1.0,False,
factories,fac_17,BIZ-00017,Sri Chamundi Fabrication 17 Pvt Ltd,"No 17, Main Road, Industrial Area, Hubballi",560017,ABCDE0017F,,Owner 17,2599,Fabrication,Hubballi,2023-01-27|2023-04-27|2023-07-26|2023-10-24|2024-01-15|2024-04-21,inspection:2023-01-27|inspection:2023-04-27|inspection:2023-07-26|inspection:2023-10-24|inspection:2024-01-15|renewal:2024-04-14|inspection:2024-04-21|renewal:2026-04-23,,chamundi fabrication 17,no 17 main road industrial area hubballi,560,C553-XMNT FBRKXN ,UBID-000032,1.0,False,
pollution,pol_17,BIZ-00017,Shri Chamundi Fabrication 17,"No 17, Main Road, Industrial Area, Hubballi",560017,ABCDE0017F,29ABCDE0017F1Z9,Owner 17,2599,Fabrication,Hubballi,2023-01-29|2023-04-29|2023-07-28|2023-10-26|2024-01-24|2024-04-23,inspection:2023-01-29|inspection:2023-04-29|inspection:2023-07-28|inspection:2023-10-26|inspection:2024-01-24|inspection:2024-04-23|filing:2026-05-05,,chamundi fabrication 17,no 17 main road industrial area hubballi,560,C553-XMNT FBRKXN ,UBID-000032,1.0,False,
electricity,ele_17,BIZ-00017,Shri Chamundi Fabrication 17,"No 17, Main Road, Industrial Area, Hubballi",560017,ABCDE0017F,29ABCDE0017F1Z9,Owner 17,2599,Fabrication,Hubballi,2023-01-30|2023-04-30|2023-07-29|2023-10-27|2024-01-25|2024-04-17,inspection:2023-01-30|inspection:2023-04-30|inspection:2023-07-29|inspection:2023-10-27|inspection:2024-01-25|inspection:2024-04-17|electricity_bill:2025-10-02|electricity_bill:2025-11-02|electricity_bill:2025-12-06|electricity_bill:2026-01-04|electricity_bill:2026-02-02|electricity_bill:2026-03-05|electricity_bill:2026-04-03|electricity_bill:2026-04-30,,chamundi fabrication 17,no 17 main road industrial area hubballi,560,C553-XMNT FBRKXN ,UBID-000032,1.0,False,
shops,sho_18,BIZ-00018,M/s Aditya Lodging 18 Lodigngs,"No 18, Main Road, Industrial Area, Mangaluru",560018,ABCDE0018F,29ABCDE0018F1Z1,Owner 18,5510,Lodging,Mangaluru,2023-01-24|2023-04-24|2023-07-23|2023-10-21|2024-01-19,inspection:2023-01-24|inspection:2023-04-24|inspection:2023-07-23|inspection:2023-10-21|inspection:2024-01-19|renewal:2024-04-22|renewal:2025-04-19|renewal:2026-04-20,,m s aditya lodging 18 lodigngs,no 18 main road industrial area mangaluru,560,M233-M S ATTY LJNK LTKNKS,UBID-000033,1.0,False,
factories,fac_18,BIZ-00018,Sri Aditya Lodgin g18 LLP,"Plot 18, Main Road, Mangaluru",560018,ABCDE0018F,,Owner 18,5510,Lodging,Mangaluru,2023-01-28|2023-04-23|2023-07-22|2023-10-20|2024-01-18,inspection:2023-01-28|inspection:2023-04-23|inspection:2023-07-22|inspection:2023-10-20|inspection:2024-01-18|renewal:2024-04-03|renewal:2025-04-03|renewal:2026-04-17,,aditya lodgin g18,plot 18 main road mangaluru,560,A334-ATTY LJN K,UBID-000034,0.5,False,
pollution,pol_18,BIZ-00018,Sri Aditya Lodging 18 LLP,"18 Main Rd, Ind Area, Mangaluru",560018,ABCDE0018F,29ABCDE0018F1Z1,Owner 18,5510,Lodging,Mangaluru,2023-01-25|2023-04-18|2023-07-24|2023-10-22|2024-01-20,inspection:2023-01-25|inspection:2023-04-18|inspection:2023-07-24|inspection:2023-10-22|inspection:2024-01-20|filing:2026-05-05,,aditya lodging 18,18 main rd ind area mangaluru,560,A334-ATTY LJNK ,UBID-000033,1.0,False,
electricity,ele_18,BIZ-00018,Sri Aditya Lodging 18 Traders,"No 18, Main Road, Industrial Area, Mangaluru",560018,ABCDE0018F,29ABCDE0018F1Z1,Owner 18,5510,Lodging,Mangaluru,2023-01-26|2023-04-26|2023-07-25|2023-10-23|2024-01-18,inspection:2023-01-26|inspection:2023-04-26|inspection:2023-07-25|inspection:2023-10-23|inspection:2024-01-18|electricity_bill:2026-02-04|electricity_bill:2026-03-04|electricity_bill:2026-03-31|electricity_bill:2026-04-30,,aditya lodging 18,no 18 main road industrial area mangaluru,560,A334-ATTY LJNK ,UBID-000033,1.0,False,
shops,sho_19,BIZ-00019,Sri Lakshmi Restaurant 19 Traders,"No 19, Main Road, Industrial Area, Belagavi",560019,ABCDE0019F,29ABCDE0019F1Z2,Owner 19,5610,Restaurant,Belagavi,2023-01-18|2023-04-15|2023-07-17|2023-10-15|2024-01-13,inspection:2023-01-18|inspection:2023-04-15|inspection:2023-07-17|inspection:2023-10-15|inspection:2024-01-13|renewal:2024-04-10|renewal:2025-04-21|renewal:2026-04-27,,lakshmi restaurant 19,no 19 main road industrial area belagavi,560,L256-LKXM RSTRNT ,UBID-000035,1.0,False,
factories,fac_19,BIZ-00019,Sri Lakshmi Restaurant 19 Traders,"Plot 19, Main Road, Belagavi",560019,ABCDE0019F,29ABCDE0019F1Z2,Owner 19,5610,Restaurant,Belagavi,2023-01-17|2023-04-10|2023-07-16|2023-10-14|2024-01-12,inspection:2023-01-17|inspection:2023-04-10|inspection:2023-07-16|inspection:2023-10-14|inspection:2024-01-12|renewal:2025-04-26,,lakshmi restaurant 19,plot 19 main road belagavi,560,L256-LKXM RSTRNT ,UBID-000035,1.0,False,
pollution,pol_19,BIZ-00019,M/s Lakshmi Restaurant 19 Pvt Ltd,"No 19, Main Road, Industrial Area, Belagavi",560019,ABCDE0019F,29ABCDE0019F1Z2,Owner 19,5610,Restaurant,Belagavi,2023-01-19|2023-04-12|2023-07-18|2023-10-13|2024-01-14,inspection:2023-01-19|inspection:2023-04-12|inspection:2023-07-18|inspection:2023-10-13|inspection:2024-01-14|filing:2026-05-05,,m s lakshmi restaurant 19,no 19 main road industrial area belagavi,560,M242-M S LKXM RSTRNT ,UBID-000035,1.0,False,
pollution,pol_19_dup,BIZ-00019,M/s Lakshmi Restaurant 1 9Pvt Ltd,"Plot 19, Main Road, Belagavi",560019,ABCDE0019F,29ABCDE0019F1Z2,Owner 19,5610,Restaurant,Belagavi,2023-01-19|2023-04-12|2023-07-18|2023-10-13|2024-01-14,inspection:2023-01-19|inspection:2023-04-12|inspection:2023-07-18|inspection:2023-10-13|inspection:2024-01-14|filing:2026-05-05,,m s lakshmi restaurant 1 9pvt,plot 19 main road belagavi,560,M242-M S LKXM RSTRNT PFT,UBID-000035,1.0,False,
electricity,ele_19,BIZ-00019,Shri Lakshmi Restaurant 19 Pvt Ltd,"No 19, Main Road, Industrial Area, Belagavi",560019,ABCDE0019F,29ABCDE0019F1Z2,Owner 19,5610,Restaurant,Belagavi,2023-01-20|2023-04-20|2023-07-19|2023-10-17|2024-01-15,inspection:2023-01-20|inspection:2023-04-20|inspection:2023-07-19|inspection:2023-10-17|inspection:2024-01-15|electricity_bill:2025-10-06|electricity_bill:2025-11-02|electricity_bill:2025-12-05|electricity_bill:2026-01-04|electricity_bill:2026-02-01|electricity_bill:2026-03-02|electricity_bill:2026-04-01|electricity_bill:2026-05-02,,lakshmi restaurant 19,no 19 main road industrial area belagavi,560,L256-LKXM RSTRNT ,UBID-000035,1.0,False,
shops,sho_20,BIZ-00020,Shri Nandi Bakrey 20 LLP,"20 Main Rd, Ind Area, Bengaluru",560020,ABCDE0020F,29ABCDE0020F1Z3,Owner 20,1071,Bakery,Bengaluru,2023-02-06|2023-05-07|2023-08-05|2023-11-03|2024-02-01,inspection:2023-02-06|inspection:2023-05-07|inspection:2023-08-05|inspection:2023-11-03|inspection:2024-02-01|renewal:2024-04-14|renewal:2026-04-08,,nandi bakrey 20,20 main rd ind area bengaluru,560,N531-NNT BKR ,UBID-000036,1.0,False,
factories,fac_20,BIZ-00020,Sri Nandi aBkery 20 Pvt Ltd,"No 20, Main Road, Industrial Area, Bengaluru",560020,ABCDE0020F,29ABCDE0020F1Z3,Owner 20,1071,Bakery,Bengaluru,2023-02-05|2023-05-06|2023-08-04|2023-11-02|2024-01-31,inspection:2023-02-05|inspection:2023-05-06|inspection:2023-08-04|inspection:2023-11-02|inspection:2024-01-31|renewal:2024-04-16|renewal:2025-04-01|renewal:2026-04-01,,nandi abkery 20,no 20 main road industrial area bengaluru,560,N531-NNT ABKR ,UBID-000036,1.0,False,
pollution,pol_20,BIZ-00020,Sri Nandi Bakery 20 Pvt Ltd,"Plot 20, Main Road, Bengaluru",560020,ABCDE0020F,29ABCDE0020F1Z3,Owner 20,1071,Bakery,Bengaluru,2023-02-07|2023-05-08|2023-08-06|2023-11-04|2024-02-02,inspection:2023-02-07|inspection:2023-05-08|inspection:2023-08-06|inspection:2023-11-04|inspection:2024-02-02,,nandi bakery 20,plot 20 main road bengaluru,560,N531-NNT BKR ,UBID-000036,1.0,False,
electricity,ele_20,BIZ-00020,Sri Nandi Baekry 20 Enterprises,"Plot 20, Main Road, Bengaluru",560020,ABCDE0020F,29ABCDE0020F1Z3,Owner 20,1071,Bakery,Bengaluru,2023-02-08|2023-05-09|2023-08-07|2023-11-05|2024-02-03,inspection:2023-02-08|inspection:2023-05-09|inspection:2023-08-07|inspection:2023-11-05|inspection:2024-02-03|electricity_bill:2025-06-04|electricity_bill:2025-07-09|electricity_bill:2025-08-05|electricity_bill:2025-09-04|electricity_bill:2025-10-07|electricity_bill:2025-11-02|electricity_bill:2025-12-02|electricity_bill:2026-01-01|electricity_bill:2026-01-31|electricity_bill:2026-03-02|electricity_bill:2026-04-05|electricity_bill:2026-05-03,,nandi baekry 20,plot 20 main road bengaluru,560,N531-NNT BKR ,UBID-000036,1.0,False,
shops,sho_21,BIZ-00021,Sri Basaveshwara Retai l21 Pvt Ltd,"No 21, Main Road, Industrial Area, Mysuru",560021,ABCDE0021F,29ABCDE0021F1Z4,Owner 21,4711,Retail,Mysuru,2023-01-24|2023-04-24|2023-07-23,inspection:2023-01-24|inspection:2023-04-24|inspection:2023-07-23|renewal:2024-04-23|renewal:2025-04-06|renewal:2026-04-03,,basaveshwara retai l21,no 21 main road industrial area mysuru,560,B212-BSFXWR RT L,UBID-000037,1.0,False,
factories,fac_21,BIZ-00021,M/s Basaveshwara Retail 21,"Plot 21, Main Road, Mysuru",560021,ABCDE0021F,29ABCDE0021F1Z4,Owner 21,4711,Retail,Mysuru,2023-01-16|2023-04-23|2023-07-22,inspection:2023-01-16|inspection:2023-04-23|inspection:2023-07-22|renewal:2024-04-25|renewal:2025-04-10|renewal:2026-04-25,,m s basaveshwara retail 21,plot 21 main road mysuru,560,M212-M S BSFXWR RTL ,UBID-000037,1.0,False,
factories,fac_21_dup,BIZ-00021,M/s Basaveshwara Retail 21,"Plot 21, Main Road, Mysuru",560021,ABCDE0021F,29ABCDE0021F1Z4,Owner 21,4711,Retail,Mysuru,2023-01-16|2023-04-23|2023-07-22,inspection:2023-01-16|inspection:2023-04-23|inspection:2023-07-22|renewal:2024-04-25|renewal:2025-04-10|renewal:2026-04-25,,m s basaveshwara retail 21,plot 21 main road mysuru,560,M212-M S BSFXWR RTL ,UBID-000037,1.0,False,
pollution,pol_21,BIZ-00021,Shri Basaveshwara Retail 21 Traders,"No 21, Main Road, Industrial Area, Mysuru",560021,ABCDE0021F,29ABCDE0021F1Z4,Owner 21,4711,Retail,Mysuru,2023-01-25|2023-04-25|2023-07-24,inspection:2023-01-25|inspection:2023-04-25|inspection:2023-07-24|filing:2026-05-05,,basaveshwara retail 21,no 21 main road industrial area mysuru,560,B212-BSFXWR RTL ,UBID-000037,1.0,False,
electricity,ele_21,BIZ-00021,M/s Basaveshwara Retail 21 LLP,"Plot 21, Main Road, Mysuru",560021,ABCDE0021F,29ABCDE0021F1Z4,Owner 21,4711,Retail,Mysuru,2023-01-26|2023-04-26|2023-07-25,inspection:2023-01-26|inspection:2023-04-26|inspection:2023-07-25|electricity_bill:2025-08-05|electricity_bill:2025-09-03|electricity_bill:2025-10-05|electricity_bill:2025-11-01|electricity_bill:2025-12-06|electricity_bill:2026-01-02|electricity_bill:2026-02-02|electricity_bill:2026-03-03|electricity_bill:2026-03-31|electricity_bill:2026-05-04,,m s basaveshwara retail 21,plot 21 main road mysuru,560,M212-M S BSFXWR RTL ,UBID-000037,1.0,False,
shops,sho_22,BIZ-00022,Royal Fabrication 22 Pvt Ltd,"No 22, Main Road, Industrial Area, Hubballi",560022,ABCDE0022F,,Owner 22,2599,Fabrication,Hubballi,2023-02-13|2023-05-14|2023-08-12,inspection:2023-02-13|inspection:2023-05-14|inspection:2023-08-12|renewal:2024-04-21|renewal:2025-04-13|renewal:2026-04-02,,royal fabrication 22,no 22 main road industrial area hubballi,560,R411-RYL FBRKXN ,UBID-000038,0.5,False,
factories,fac_22,BIZ-00022,Royal Fabrictaion 22 LLP,"No 22, Main Road, Industrial Area, Hubballi",560022,ABCDE0022F,29ABCDE0022F1Z5,Owner 22,2599,Fabrication,Hubballi,2023-02-12|2023-05-18|2023-08-11,inspection:2023-02-12|inspection:2023-05-18|inspection:2023-08-11|renewal:2025-04-16|renewal:2026-04-18,,royal fabrictaion 22,no 22 main road industrial area hubballi,560,R411-RYL FBRKTN ,UBID-000039,0.5,False,
pollution,pol_22,BIZ-00022,Sri Royal Fabrication 22 Fabrications,"No 22, Main Road, Industrial Area, Hubballi",560022,ABCDE0022F,29ABCDE0022F1Z5,Owner 22,2599,Fabrication,Hubballi,2023-02-14|2023-05-15|2023-08-13,inspection:2023-02-14|inspection:2023-05-15|inspection:2023-08-13|filing:2026-05-05,,royal fabrication 22 fabrications,no 22 main road industrial area hubballi,560,R411-RYL FBRKXN FBRKXNS,UBID-000040,1.0,False,
